X	Y	Z	Fi
37.5	45.5	276.5	30.540001
38.5	45.5	276.5	25.170034
39.5	45.5	276.5	32.099998
40.5	45.5	276.5	26.524191
41.5	45.5	276.5	30.040001
42.5	45.5	276.5	29.136181
43.5	45.5	276.5	28.922012
44.5	45.5	276.5	27.012424
45.5	45.5	276.5	25.430645
46.5	45.5	276.5	25.259092
47.5	45.5	276.5	26.48
48.5	45.5	276.5	31.32
49.5	45.5	276.5	25.860001
50.5	45.5	276.5	26.01
51.5	45.5	276.5	34.400002
52.5	45.5	276.5	29.613344
53.5	45.5	276.5	30.030001
54.5	45.5	276.5	31.296169
55.5	45.5	276.5	34.41
56.5	45.5	276.5	26.610001
57.5	45.5	276.5	28.447384
58.5	45.5	276.5	30.721262
59.5	45.5	276.5	30.889999
60.5	45.5	276.5	27.93
61.5	45.5	276.5	33.977489
62.5	45.5	276.5	30.604548
63.5	45.5	276.5	29.476793
64.5	45.5	276.5	27.726955
65.5	45.5	276.5	31.15
66.5	45.5	276.5	33.911472
67.5	45.5	276.5	30.978479
68.5	45.5	276.5	30.290001
69.5	45.5	276.5	26.346653
70.5	45.5	276.5	29.652451
71.5	45.5	276.5	28.644493
72.5	45.5	276.5	30.439383
73.5	45.5	276.5	25.718185
74.5	45.5	276.5	29.843311
75.5	45.5	276.5	29.117458
76.5	45.5	276.5	28.16
77.5	45.5	276.5	23.308359
78.5	45.5	276.5	23.187197
79.5	45.5	276.5	25.83
80.5	45.5	276.5	24.187731
81.5	45.5	276.5	22.130116
82.5	45.5	276.5	23.201277
83.5	45.5	276.5	2.6600001
84.5	45.5	276.5	25.76
85.5	45.5	276.5	15.672043
86.5	45.5	276.5	27.73933
87.5	45.5	276.5	20.884541
88.5	45.5	276.5	24.392067
89.5	45.5	276.5	21.01561
90.5	45.5	276.5	15.2544
91.5	45.5	276.5	24.872267
92.5	45.5	276.5	24.51
93.5	45.5	276.5	31.822855
94.5	45.5	276.5	34.990002
95.5	45.5	276.5	34.330002
96.5	45.5	276.5	29.459999
97.5	45.5	276.5	31.831669
98.5	45.5	276.5	29.380898
99.5	45.5	276.5	32.934643
0.5	45.5	277.5	31.41
1.5	45.5	277.5	21.502789
2.5	45.5	277.5	27.632372
3.5	45.5	277.5	25.370001
4.5	45.5	277.5	23.859629
5.5	45.5	277.5	26.4
6.5	45.5	277.5	26.76
7.5	45.5	277.5	8.6455698
8.5	45.5	277.5	19.442154
9.5	45.5	277.5	8.6499996
10.5	45.5	277.5	22.707312
11.5	45.5	277.5	25.166861
12.5	45.5	277.5	24.379999
13.5	45.5	277.5	25.774107
14.5	45.5	277.5	25.110001
15.5	45.5	277.5	27.1
16.5	45.5	277.5	24.68453
17.5	45.5	277.5	26.33
18.5	45.5	277.5	22.204744
19.5	45.5	277.5	29.177443
20.5	45.5	277.5	25.777887
21.5	45.5	277.5	26.134039
22.5	45.5	277.5	15.350328
23.5	45.5	277.5	17.337336
24.5	45.5	277.5	15.376995
25.5	45.5	277.5	22.879763
26.5	45.5	277.5	17.847092
27.5	45.5	277.5	23.85371
28.5	45.5	277.5	29.301344
29.5	45.5	277.5	26.2229
30.5	45.5	277.5	14.141351
31.5	45.5	277.5	25.629999
32.5	45.5	277.5	25.57
33.5	45.5	277.5	27.69389
34.5	45.5	277.5	16.382851
35.5	45.5	277.5	18.709999
36.5	45.5	277.5	29.652353
37.5	45.5	277.5	23.87402
38.5	45.5	277.5	19.454393
39.5	45.5	277.5	24.32
40.5	45.5	277.5	29.299999
41.5	45.5	277.5	23.513773
42.5	45.5	277.5	28.02
43.5	45.5	277.5	26.870001
44.5	45.5	277.5	26.190001
45.5	45.5	277.5	30.765255
46.5	45.5	277.5	28.833811
47.5	45.5	277.5	29.6
48.5	45.5	277.5	30.040001
49.5	45.5	277.5	25.879999
50.5	45.5	277.5	28.559999
51.5	45.5	277.5	33.080002
52.5	45.5	277.5	31.83
53.5	45.5	277.5	32.549812
54.5	45.5	277.5	31.83
55.5	45.5	277.5	31.889999
56.5	45.5	277.5	24.65
57.5	45.5	277.5	28.700001
58.5	45.5	277.5	27.361031
59.5	45.5	277.5	29.708633
60.5	45.5	277.5	32.528408
61.5	45.5	277.5	31.290001
62.5	45.5	277.5	36.246525
63.5	45.5	277.5	29.380648
64.5	45.5	277.5	29.129999
65.5	45.5	277.5	28.26
66.5	45.5	277.5	27.912601
67.5	45.5	277.5	33.028244
68.5	45.5	277.5	29.639999
69.5	45.5	277.5	25.440256
70.5	45.5	277.5	27.219999
71.5	45.5	277.5	26.188643
72.5	45.5	277.5	27.749163
73.5	45.5	277.5	30.059999
74.5	45.5	277.5	33.848965
75.5	45.5	277.5	32.50375
76.5	45.5	277.5	28.309999
77.5	45.5	277.5	33.261192
78.5	45.5	277.5	36.9398
79.5	45.5	277.5	34.049999
80.5	45.5	277.5	33.429207
81.5	45.5	277.5	34.669998
82.5	45.5	277.5	28.766123
83.5	45.5	277.5	32.200001
84.5	45.5	277.5	30.84
85.5	45.5	277.5	32.578999
86.5	45.5	277.5	31.870001
87.5	45.5	277.5	29.398314
88.5	45.5	277.5	29.381626
89.5	45.5	277.5	32.833035
90.5	45.5	277.5	29.135323
91.5	45.5	277.5	27
92.5	45.5	277.5	32.720001
93.5	45.5	277.5	33.400002
94.5	45.5	277.5	35.135658
95.5	45.5	277.5	33.59314
96.5	45.5	277.5	28.839533
97.5	45.5	277.5	30.998016
98.5	45.5	277.5	34.928768
99.5	45.5	277.5	35.065544
0.5	45.5	278.5	27
1.5	45.5	278.5	19.802731
2.5	45.5	278.5	26.959677
3.5	45.5	278.5	15.262249
4.5	45.5	278.5	24.389999
5.5	45.5	278.5	22.58
6.5	45.5	278.5	28.74
7.5	45.5	278.5	21.540001
8.5	45.5	278.5	26.068899
9.5	45.5	278.5	26.85
10.5	45.5	278.5	25.51
11.5	45.5	278.5	26.516634
12.5	45.5	278.5	27.760656
13.5	45.5	278.5	26.01
14.5	45.5	278.5	28.97369
15.5	45.5	278.5	22.785198
16.5	45.5	278.5	25.178421
17.5	45.5	278.5	17.361362
18.5	45.5	278.5	18.95225
19.5	45.5	278.5	21.345264
20.5	45.5	278.5	22.851938
21.5	45.5	278.5	24.99
22.5	45.5	278.5	29.129999
